0,32;8,704;11,968;20,416;11,648;13,472;10,144;10,944;24,448;14,56;15,552;21,792;23,392;23,904;19,872
8,704;0,32;9,344;11,68;3,008;5,12;13,088;8,48;22,08;11,584;7,552;13,728;15,296;16,288;15,648
11,968;9,344;0,32;13,952;11,744;12,672;21,696;17,44;31,424;20,224;14,944;17,888;20,48;23,2;24,448
20,416;11,68;13,952;0,32;10,176;7,488;23,968;14,528;25,312;18,112;8,128;4,992;9,12;16,384;18,24
11,648;3,008;11,744;10,176;0,32;2,944;16,256;8,48;23,584;11,552;19,968;14,208;17,888;26,368;17,856
13,472;5,12;12,672;7,488;2,944;0,32;16,064;7,456;19,168;10,528;2,368;8,544;10,144;10,496;11,968
10,144;13,088;21,696;23,968;16,256;16,064;0,32;10,144;18,752;9,792;18,144;24,256;25,632;22,208;15,968
10,944;8,512;17,44;14,528;8,48;7,456;10,144;0,32;14,336;3,072;7,424;15,648;15,52;11,872;7,84
24,448;22,08;31,424;25,312;23,584;19,168;18,752;14,336;0,32;11,264;17,824;21,056;19,84;11,648;7,2
14,56;11,584;20,224;18,112;11,552;10,528;9,792;3,072;11,264;0,32;10,912;16,672;19,616;11,488;5,984
9,664;7,552;14,944;8,128;19,968;2,368;18,144;7,424;17,824;10,912;0,32;6,112;7,84;8,192;9,664
21,792;13,728;17,888;4,992;14,208;8,544;24,256;15,648;21,056;16,672;6,112;0,32;4,064;11,744;15,456
23,392;15,296;20,48;9,12;17,888;10,144;25,632;15,52;19,84;19,616;7,84;3,968;0,32;8,64;12,8352
24,096;16,288;23,2;16,384;26,368;10,496;22,208;11,872;11,648;11,488;8,192;11,744;8,64;0,32;4,48
19,872;15,648;24,448;18,24;17,856;11,968;15,968;7,84;7,2;5,984;9,664;15,456;12,832;4,48;0,32
29,312;25,536;35,072;27,968;38,272;22,144;23,584;17,728;7,232;14,784;20,128;22,752;18,784;11,36;9,184
