0,54;14,80;20,35;34,71;19,80;22,90;17,24;18,60;41,56;24,75;26,44;37,05;39,77;40,64;33,78;
14,80;0,54;15,88;19,86;5,11;8,70;22,25;14,42;37,54;19,69;12,84;23,34;26,00;27,69;26,60;
20,35;15,88;0,54;23,72;19,96;21,54;36,88;29,65;53,42;34,38;25,40;30,41;34,82;39,44;41,56;
34,71;19,86;23,72;0,54;17,30;12,73;40,75;24,70;43,03;30,79;13,82;8,49;15,50;27,85;31,01;
19,80;5,11;19,96;17,30;0,54;5,00;27,64;14,42;40,09;19,64;33,95;24,15;30,41;44,83;30,36;
22,90;8,70;21,54;12,73;5,00;0,54;27,31;12,68;32,59;17,90;4,03;14,52;17,24;17,84;20,35;
17,24;22,25;36,88;40,75;27,64;27,31;0,54;17,24;31,88;16,65;30,84;41,24;43,57;37,75;27,15;
18,60;14,47;29,65;24,70;14,42;12,68;17,24;0,54;24,37;5,22;12,62;26,60;26,38;20,18;13,33;
41,56;37,54;53,42;43,03;40,09;32,59;31,88;24,37;0,54;19,15;30,30;35,80;33,73;19,80;12,24;
24,75;19,69;34,38;30,79;19,64;17,90;16,65;5,22;19,15;0,54;18,55;28,34;33,35;19,53;10,17;
16,43;12,84;25,40;13,82;33,95;4,03;30,84;12,62;30,30;18,55;0,54;10,39;13,33;13,93;16,43;
37,05;23,34;30,41;8,49;24,15;14,52;41,24;26,60;35,80;28,34;10,39;0,54;6,91;19,96;26,28;
39,77;26,00;34,82;15,50;30,41;17,24;43,57;26,38;33,73;33,35;13,33;6,75;0,54;14,69;21,82;
40,96;27,69;39,44;27,85;44,83;17,84;37,75;20,18;19,80;19,53;13,93;19,96;14,69;0,54;7,62;
33,78;26,60;41,56;31,01;30,36;20,35;27,15;13,33;12,24;10,17;16,43;26,28;21,81;7,62;0,54;
49,83;43,41;59,62;47,55;65,06;37,64;40,09;30,14;12,29;25,13;34,22;38,68;31,93;19,31;15,61;
